latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.600006,-79.6,NaN,-14400,America/Toronto,EDT

time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³)
2023-05-18T00:00,27.5,19.3,242.0,47.9,5.4
2023-05-18T01:00,24.8,17.3,213.0,40.3,4.9
2023-05-18T02:00,22.9,16.0,181.0,31.1,4.4
2023-05-18T03:00,22.2,15.5,174.0,27.3,4.4
2023-05-18T04:00,22.4,15.7,174.0,24.5,4.7
2023-05-18T05:00,23.3,16.4,177.0,21.8,5.0
2023-05-18T06:00,24.7,17.3,181.0,20.7,5.1
2023-05-18T07:00,24.2,16.9,187.0,20.4,5.1
2023-05-18T08:00,27.8,19.5,212.0,21.6,5.7
2023-05-18T09:00,27.9,19.6,197.0,19.0,6.5
2023-05-18T10:00,33.8,23.6,175.0,15.4,7.6
2023-05-18T11:00,36.1,25.2,151.0,11.3,8.6
2023-05-18T12:00,38.2,26.7,142.0,9.6,8.5
2023-05-18T13:00,39.8,27.8,137.0,8.6,7.9
2023-05-18T14:00,39.8,27.9,133.0,8.1,7.2
2023-05-18T15:00,39.7,27.8,129.0,7.5,6.9
2023-05-18T16:00,37.8,26.5,126.0,7.2,6.6
2023-05-18T17:00,33.8,23.6,131.0,10.8,6.5
2023-05-18T18:00,28.9,20.2,144.0,19.2,6.7
2023-05-18T19:00,24.6,17.2,163.0,30.7,7.0
2023-05-18T20:00,40.7,28.5,224.0,47.4,8.3
2023-05-18T21:00,39.3,27.5,257.0,51.8,8.5
2023-05-18T22:00,39.2,27.4,305.0,58.0,8.7
2023-05-18T23:00,39.8,27.9,347.0,63.8,9.0
2023-05-19T00:00,38.9,27.2,343.0,64.3,9.2
2023-05-19T01:00,37.7,26.4,322.0,62.9,9.3
2023-05-19T02:00,37.8,26.5,294.0,58.5,9.5
2023-05-19T03:00,38.8,27.1,282.0,53.0,9.9
2023-05-19T04:00,39.9,27.9,272.0,45.8,10.4
2023-05-19T05:00,41.6,29.0,262.0,36.4,10.4
2023-05-19T06:00,41.7,29.0,257.0,30.4,9.5
2023-05-19T07:00,38.9,27.0,255.0,24.6,8.0
2023-05-19T08:00,41.0,28.6,308.0,29.7,10.0
2023-05-19T09:00,40.5,28.2,293.0,25.6,9.2
2023-05-19T10:00,39.9,27.7,272.0,19.7,8.0
2023-05-19T11:00,40.6,28.2,246.0,12.9,6.6
2023-05-19T12:00,43.2,29.9,231.0,9.8,5.9
2023-05-19T13:00,44.9,31.1,219.0,7.5,5.5
2023-05-19T14:00,44.5,30.7,207.0,5.9,5.1
2023-05-19T15:00,42.6,29.5,202.0,5.2,5.0
2023-05-19T16:00,40.6,28.1,200.0,5.2,5.2
2023-05-19T17:00,38.9,26.9,207.0,8.9,5.6
2023-05-19T18:00,37.6,26.1,223.0,17.0,6.3
2023-05-19T19:00,37.7,26.1,246.0,28.1,7.2
2023-05-19T20:00,34.9,24.2,253.0,31.9,6.1
2023-05-19T21:00,36.7,25.4,261.0,32.3,6.3
2023-05-19T22:00,38.8,26.8,272.0,32.8,6.6
2023-05-19T23:00,40.9,28.3,279.0,32.1,6.7
2023-05-20T00:00,42.7,29.6,273.0,29.7,6.2
2023-05-20T01:00,43.5,30.2,260.0,26.2,5.5
2023-05-20T02:00,40.4,28.1,242.0,21.0,4.6
2023-05-20T03:00,36.3,25.3,228.0,16.3,4.1
2023-05-20T04:00,32.5,22.6,212.0,11.1,3.7
2023-05-20T05:00,30.3,21.1,202.0,7.4,3.4
2023-05-20T06:00,28.9,20.1,210.0,9.9,3.3
2023-05-20T07:00,27.9,19.5,228.0,15.2,3.4
2023-05-20T08:00,37.7,26.4,278.0,28.7,4.0
2023-05-20T09:00,35.7,25.0,276.0,27.9,4.0
2023-05-20T10:00,29.2,20.4,274.0,26.7,3.9
2023-05-20T11:00,25.3,17.7,266.0,23.4,3.8
2023-05-20T12:00,25.6,17.9,255.0,18.3,3.7
2023-05-20T13:00,31.0,21.7,242.0,11.8,3.5
2023-05-20T14:00,38.3,26.8,224.0,5.1,3.2
2023-05-20T15:00,41.2,28.8,212.0,3.2,2.7
2023-05-20T16:00,37.6,26.3,200.0,3.0,2.1
2023-05-20T17:00,30.3,21.2,190.0,4.4,1.5
2023-05-20T18:00,26.6,18.6,192.0,7.4,1.5
2023-05-20T19:00,19.6,13.7,198.0,11.6,1.7
2023-05-20T20:00,31.1,21.8,206.0,14.7,1.9
2023-05-20T21:00,28.2,19.8,208.0,14.1,2.0
2023-05-20T22:00,27.3,19.2,210.0,13.2,2.2
2023-05-20T23:00,23.9,16.7,208.0,11.6,2.4
2023-05-21T00:00,19.2,13.5,199.0,9.7,2.3
2023-05-21T01:00,22.1,15.4,187.0,7.3,2.1
2023-05-21T02:00,27.0,18.9,171.0,4.9,2.0
2023-05-21T03:00,27.1,18.9,162.0,4.1,2.1
2023-05-21T04:00,22.8,15.9,154.0,3.7,2.3
